#OTU ID,s2_Stn1Cast14110m02um,s2_Stn1Cast14110m22um,s2_Stn1Cast14110m2um,s4_Stn1Cast1470m02um,s4_Stn1Cast1470m22um,s4_Stn1Cast1470m2um,s5_Stn1Cast1840m02um,s5_Stn1Cast1840m22um,s5_Stn1Cast1840m2um,s1_Stn1Cast6120m02um,s1_Stn1Cast6120m22um,s1_Stn1Cast6120m2um,s3_Stn1Cast683m02um,s3_Stn1Cast683m22um,s3_Stn1Cast683m2um,s4_Stn2Cast3190m02um,s4_Stn2Cast3190m22um,s4_Stn2Cast3190m2um,s3_Stn2Cast47113m02um,s3_Stn2Cast47113m22um,s3_Stn2Cast47113m2um,s2_Stn2Cast55120m02um,s2_Stn2Cast55120m22um,s2_Stn2Cast55120m2um,s5_Stn2Cast5930m02um,s5_Stn2Cast5930m22um,s5_Stn2Cast5930m2um,s1_Stn2Cast59900m02um,s1_Stn2Cast59900m22um,s1_Stn2Cast59900m2um,s3_Stn3Cast7245m02um,s3_Stn3Cast7245m22um,s3_Stn3Cast7245m2um,s5_Stn3Cast7633m02um,s5_Stn3Cast7633m22um,s5_Stn3Cast7633m2um,s1_Stn3Cast811000m02um,s1_Stn3Cast811000m22um,s1_Stn3Cast811000m2um,s6_Stn3Cast9310m02um,s6_Stn3Cast9310m22um,s6_Stn3Cast9310m2um,s2_Stn3Cast9370m02um,s2_Stn3Cast9370m22um,s2_Stn3Cast9370m2um,s4_Stn3Cast9740m02um,s4_Stn3Cast9740m22um,s4_Stn3Cast9740m2um
Zotu1023,0,0,0,1,4,0,0,0,0,3,0,0,0,0,0,0,10,0,9,2,0,0,0,0,0,0,0,0,0,0,24,61,1,8,27,0,0,0,0,0,0,0,26,0,3,0,0,0
Zotu241,0,1,0,23,31,9,0,0,0,0,0,0,5,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,335,97,6,266,83,34,1,1,2,4,2,1,26,0,0,196,148,6
Zotu376,0,66,0,19,84,13,1,0,0,6,0,5,0,16,0,30,205,0,65,1,1,0,8,0,0,0,0,0,0,0,24,145,1,6,39,0,2,0,0,1,3,2,26,0,0,3,8,0
Zotu46,454,113,310,0,0,0,0,0,0,214,0,113,1,0,0,53,2,8,222,0,0,2108,428,1371,0,11,0,93,0,58,496,133,49,416,18,27,79,0,73,0,2,0,26,0,2,1,1,0
Zotu520,10,241,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,9,106,8,0,0,0,0,0,0,2,35,0,0,12,0,0,0,0,0,0,0,26,0,3,0,0,0
Zotu1123,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,8,0,4,54,4,0,2,0,0,13,0,6,31,0,0,0,0,2,13,0,25,0,0,0,11,0
Zotu563,9,44,0,0,21,0,1,0,0,5,3,16,0,0,0,1,105,0,17,0,0,4,10,0,0,0,0,5,0,1,5,116,0,1,42,3,0,2,6,1,0,0,25,0,7,0,6,0
Zotu929,5,14,3,3,11,7,0,0,0,3,4,16,4,77,5,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,16,7,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0
Zotu1298,0,0,0,0,0,0,0,0,0,0,0,0,1,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,24,0,0,0,0,0
Zotu1412,3,24,8,0,0,0,1,0,0,1,0,0,0,7,0,1,15,0,3,0,1,0,0,1,0,0,0,0,0,0,0,10,0,3,10,0,0,0,0,0,0,0,24,0,6,0,0,0
Zotu196,365,191,145,250,132,62,0,0,0,19,0,13,77,5,2,195,130,34,181,0,3,94,99,72,0,0,0,0,0,0,299,86,4,85,28,3,0,0,0,1,0,0,24,0,7,7,3,0
Zotu92,12,1302,499,0,0,0,0,0,0,2,26,171,0,6,0,0,11,5,1,4,0,7,744,303,0,3,0,2,4,30,0,112,10,0,27,0,6,93,41,0,4,0,24,0,4,0,0,0
Zotu135,0,28,11,2,450,163,0,0,0,0,0,12,0,289,46,1,76,8,0,0,0,0,2,3,0,0,0,0,0,0,6,207,19,0,870,46,1,0,0,0,0,0,23,0,1,1,228,3
Zotu168,34,12,14,90,23,11,0,0,0,3,0,0,86,9,0,92,16,1,245,0,0,1,0,0,0,0,0,0,0,2,492,95,2,163,48,17,0,0,2,0,3,0,23,0,4,439,128,0
Zotu2,1937,131,237,8036,1371,2811,1,0,0,205,0,123,18580,240,707,7623,492,504,4869,13,5,286,83,252,0,0,0,1,0,1,4795,456,278,2281,111,96,5,3,14,0,0,0,23,0,13,1167,182,12
Zotu334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,49,0,0,542,11,7,2,11,1,11,3,23,0,0,18,112,0
Zotu118,715,209,491,2,0,0,0,0,0,33,0,30,0,0,0,1,0,0,78,0,0,207,291,407,0,0,0,0,0,0,114,58,31,17,8,0,4,10,19,0,0,0,22,0,6,0,0,0
Zotu161,586,163,421,1,0,3,0,0,0,35,0,41,12,0,0,5,4,0,78,6,0,110,79,185,0,0,0,6,0,0,122,31,3,22,9,2,57,4,118,0,0,0,22,0,31,0,0,0
Zotu1740,2,1,1,4,11,5,2,0,0,4,0,0,1,3,0,1,1,0,3,0,0,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0
Zotu1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,22,0,0,4,27,0
Zotu194,3,30,13,0,52,40,0,0,0,10,15,151,12,508,96,1,62,5,10,1,0,0,10,16,0,7,0,8,4,156,19,37,1,4,73,6,2,48,35,0,0,0,21,0,9,2,211,3
Zotu3204,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Zotu411,103,67,25,0,0,0,0,0,0,19,0,28,1,3,0,0,0,0,33,0,0,18,36,34,0,0,0,28,5,16,44,40,6,5,5,1,52,15,42,0,0,0,21,0,0,0,0,0
Zotu703,2,5,0,0,0,0,0,0,0,4,4,20,0,0,0,0,3,0,7,0,2,18,35,52,0,0,0,6,0,3,7,4,0,0,2,0,31,49,44,0,0,0,21,0,5,5,0,0
Zotu128,8,481,159,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,19,1135,552,0,9,0,0,0,12,0,17,0,0,9,3,2,15,14,0,1,0,20,0,0,0,2,0
Zotu29,3064,797,1257,2,2,0,0,0,0,446,26,312,18,0,2,39,9,2,444,0,1,762,1439,949,0,2,0,37,1,47,492,177,31,62,24,1,52,91,113,0,0,0,20,0,4,4,0,0
Zotu481,1,34,6,6,81,21,0,6,0,1,0,3,1,0,1,0,29,0,2,3,0,0,27,6,0,33,3,0,0,0,5,44,0,2,150,0,3,8,1,0,3,2,20,0,0,0,20,0
Zotu342,86,198,68,0,2,0,0,0,0,11,4,1,0,10,0,5,10,0,30,0,0,63,70,27,0,0,0,0,0,0,44,105,9,7,16,0,0,3,0,0,0,0,19,0,0,0,0,0
Zotu3810,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
